"Attribute Splash Pages","展示页面"
"Splash Group Information","组页面"
"Attribute Splash","展示页面"
"Attribute","属性"
"Attribute Page","属性页面"
"Include in Menu","菜单中显示"
"Option","选项"
"Banner","广告条幅图片"
"Category ID","分类编号"
"Used to populate category filters in the layered navigation","用于分类筛选"
"Is Enabled","是否启用"
"Splash Page Information","属性页面"
"Edit Attribute Splash Group","编辑属性组页面"
"Column Count","显示列数"
"Number of Splash pages per row","每行显示多少页面"
"Add Group URL Key to URL","组页面URL"
"URL Suffix","URL后缀"
"Inject Links in Top Navigation","往顶部导航插入链接"
"Depends on your theme","是否生效需要根据模板兼容性来确定"
"Navigation","导航"