"%s was successfully added to your shopping cart.","成功将%s加入购物车。"
"%s was added to your shopping cart.","成功将%s加入购物车。"
"&laquo; Back to Billing Information","&laquo; 返回账单信息"
"&laquo; Back to Select Addresses","&laquo; 返回选择地址"
"&laquo; Back to Shopping Cart","&laquo; 返回购物车"
"* Required Fields","* 必填项"
"Add New Address","添加新地址"
"Add New Condition","添加新状态"
"Add to Cart","购买"
"Add to Compare","比较"
"Add to Wishlist","收藏"
"Address","地址"
"Address %s of %s","第%s个地址，共%s个"
"After adding a product redirect to shopping cart","加入商品后转到购物车"
"Allow Guest Checkout","允许访客结帐"
"Already registered?","已注册？"
"An error occurred in the process of payment","支付过程出现错误"
"Apply Coupon","使用优惠券"
"Are you sure you would like to remove this item from the shopping cart?","您确认要从购物车中删除该商品吗？"
"Back","返回"
"Back to Shipping Information","返回配送信息"
"Based on your selection, you may be interested in the following items:","基于您的选择，您也许对以下商品感兴趣："
"Billing Address","账单地址"
"Billing Information","账单信息"
"Billing Information - %s","账单信息 - %s"
"Can not add item to shopping cart","无法加入购物车"
"Can not apply coupon code.","无法使用优惠券。"
"Can't open overview page","无法打开概述页面"
"Cancel Coupon","取消优惠券"
"Cannot remove item","无法删除商品"
"Cannot update shopping cart","无法更新购物车"
"Card Verification Number Visual Reference","信用卡确认码参考视图"
"Cart Subtotal:","购物车小计："
"Change","编辑"
"Change Billing Address","修改账单地址"
"Checkbox text","选框提示文字"
"Checkout","结帐"
"Checkout Conditions","购买条款"
"Checkout Options","结算选择"
"Checkout Section","结账单元"
"Checkout Terms and Conditions","结算条款"
"Checkout as Guest","以访客身份结帐"
"Checkout as a Guest or Register","以访客身份结帐或注册"
"Checkout method","结帐方式"
"Checkout with Multiple Addresses","使用多个地址结帐"
"City","城市"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target='_blank'"">打印</a>订单"
"Close","关闭"
"Company","公司"
"Condition Name","条款名称"
"Condition was successfully deleted","成功删除条款"
"Condition was successfully saved","成功保存条款"
"Configurable product image","可设置商品的图片"
"Confirm Password","确认密码"
"Content","内容"
"Content Height","内容显示高度"
"Content Height (css)","内容显示高度 (css)"
"Continue","继续"
"Continue Shopping","继续购物"
"Continue to Billing Information","继续账单信息"
"Continue to Review Your Order","继续查看订单"
"Continue to Shipping Information","继续配送信息"
"Country","国家"
"Coupon code ""%s"" is not valid.","优惠券号""%s""不正确。"
"Coupon code ""%s"" was applied successfully.","成功使用优惠券代码 ""%s""."
"Coupon code was canceled successfully.","成功取消优惠券代码。"
"Create Billing Address","创建账单地址"
"Create Shipping Address","创建配送地址"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","数据保存问题"
"Default Billing","默认账单"
"Default Shipping","默认配送"
"Delete Condition","删除条件"
"Details","详情"
"Disable Onepage Checkout","禁用单页结帐"
"Disabled","禁用"
"Discount Codes","优惠券"
"Display Cart Summary","显示购物车摘要"
"Display Shopping Cart Sidebar","显示购物车 Sidebar"
"Display item quantities","显示商品数量"
"Display number of items in cart","显示购物车的商品数量"
"Easy access to your order history and status","简易查询您的订单历史和帐号资料"
"Edit","修改"
"Edit Address","修改地址"
"Edit Billing Address","修改账单地址"
"Edit Items","修改商品"
"Edit Shipping Address","修改配送地址"
"Edit Terms and Conditions","修改条款"
"Edit Your Cart","修改购物车"
"Email Address","电邮"
"Enable Terms andConditions","启用购买条款"
"Enabled","已启用"
"Enter a New Address","输入新地址"
"Enter your coupon code if you have one.","若您有优惠券号，请输入。"
"Enter your destination to get a shipping estimate.","输入目的地估计运费。"
"Error while deleting this condition. Please try again later.","删除该条款有误，请稍后重试。"
"Error while saving this condition. Please try again later.","保存条款有误，请稍后重置。"
"Estimate Shipping and Tax","运费及税估价"
"Excl. Tax","不含税"
"Fast and easy check out","快速方便结帐"
"Fax","传真号"
"Forgot an Item?","忘记商品了？"
"Forgot your password?","忘记密码？"
"Get a Quote","询价"
"Grand Total:","总计："
"Grouped product image","组合商品的图片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含税"
"Invalid data","数据不正确"
"Invalid email address ""%s""","邮件地址不正确 ""%s"""
"Invalid shipping method.","配送方式不正确。"
"Items","商品"
"Load customer quote error","加载客户询价错误"
"Loading next step...","加载下一步..."
"Login","登录"
"Manage Checkout Terms and Conditions","管理结算条款"
"Maximum display Recently added item(s)","最近增加商品最大显示数"
"Maximum qty allowed for Shipping to multiple addresses is %s","多个地址配送允许的最高产品数量为%s"
"Move to Wishlist","移到收藏"
"My Account","我的帐户"
"My Cart","购物车"
"My Cart (%s item)","购物车 (%s商品)"
"My Cart (%s items)","购物车 (%s商品)"
"My Cart Link","购物车连接"
"New Address","新地址"
"New Condition","新条款"
"Order #","订单号 #"
"Order Review","查看订单"
"Order Success","订单成功"
"Other items in your order","您订购的其他商品"
"Password","密码"
"Payment Failed Email Reciever","支付失败邮件收件人"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Emails","支付失败邮件"
"Payment Failed Template","支付失败模版"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment method is not defined","支付方式尚未定义"
"Place Order","下订单"
"Please <a href=""%s"">continue shopping</a>.","请 <a href=""%s"">继续购物</a>。"
"Please agree to all Terms and Conditions before placing the order.","在下订单之前请选择同意所有购买条款。"
"Please agree to all Terms and Conditions before placing the orders.","在下订单前请选择同意所有购买条款。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编，例如 90602 或 90602-1234"
"Please log in below:","请输入登录信息："
"Please select region, state or province","请选择省份或地区"
"Please select shipping address for applicable items","请选择匹配的商品配送地址"
"Please select shipping methods for all addresses","请选择所有地址的配送方式"
"Price","价格"
"Proceed to Checkout","结算"
"Product","商品"
"Product Name","商品名称"
"Product does not exist","商品不存在"
"Qty","件数"
"Quote Lifetime (days)","报价时间 (日)"
"Recently added item(s)","新近添加的物品"
"Register","注册帐号"
"Register and save time!","注册帐号，省时方便！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册帐号让您将来购物更便利："
"Remove","删除"
"Remove Item","物品删除"
"Remove Product","删除商品"
"Remove item","删除记录"
"Review Order","查看订单"
"Review Order - %s","查看订单 - %s"
"Sales","销售"
"Save Condition","保存条款"
"Save in address book","保存到地址簿里"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择配送方式"
"Select State/Province...","选择省份..."
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Select a shipping address from your address book or enter a new address.","从您的地址簿中选择送货地址，或者输入新的地址。"
"Send Payment Failed Email Copy Method","支付失败邮件副本发送方式"
"Send Payment Failed Email Copy To","发送支付失败邮件副本到"
"Send to","收货人"
"Ship to Multiple Addresses","多地址发货"
"Ship to different address","发货到不同地址"
"Ship to this address","发货到此地址"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Methods","配送方式"
"Shipping method has not been selected yet","尚未选择配送方式"
"Shipping selection is not applicable","配送选择不可用"
"Shipping to","发货地址"
"Shopping Cart","购物车"
"Shopping Cart Sidebar","购物车Sidebar"
"Shopping Cart is Empty","购物车空"
"Show Content as","内容显示格式"
"Some of the products you requested are not available in the desired quantity","您订购的某些商品数量不足"
"Some of the products you requested are unavailable","您订购的某些商品没有存货"
"Sorry, Onepage Checkout is disabled.","对不起，单页结帐已禁用。"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","对不起，未启用访客结帐功能。请重试或者联系店主。"
"Sorry, no quotes are available for this order at this time.","对不起，目前无法配送此订单。"
"State/Province","省份"
"Status","状态"
"Store View","商店视图"
"Street Address","街道地址"
"Street Address ","街道地址 "
"Submitting order information...","提交订单信息..."
"Subtotal","小计"
"Telephone","电话"
"Terms and Conditions","条款"
"Terms and Conditions Information","条款信息"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","该邮件地址已注册，请登陆该邮件地址或输入其他邮件地址注册"
"Terms and conditions","条款"
"Text","纯文本"
"Thank you for your purchase!","感谢您的惠顾！"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","您的购物车中有<a href=""%s""><strong>%s件商品</strong></a>。"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","购物车中有<a href=""%s""><strong>1件商品</strong></a>。"
"There is already a customer registered using this email address","已有客户注册了这个邮件地址"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"This condition no longer exists","此条款不存在"
"Total","总额"
"Total for this address","此地址之总计"
"Unit Price","单价"
"Update Qty &amp; Addresses","更新件数和地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Use Billing Address","使用账单地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正处理您的订单，您很快会收到含有订单详细内容的邮件。订单发货后，您会收到另一封含有查询订单状态链接的邮件。"
"You have no items in your shopping cart.","您的购物车内没有商品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您将收到订单详情和进度邮件。"
"Your Checkout Progress","您的结帐进度"
"Your order # is: %s.","您的订单编号是: %s."
"Your order # is: <a href=""%s"">%s</a>.","您的订单号是: <a href=""%s"">%s</a>"
"Your order has been received","您的订单已收到"
"Your order number is ","您的订单号码是 "
"Zip/Postal Code","邮编"
"osCommerce Orders","osCommerce 订单"
"separate by "",""","多个记录以半角逗号 "","" 分割"
"Please <a href=""%s"">continue shopping</a>.","请 <a href=""%s"">继续购物</a>."
"Your order has been received.","我们已经收到了您的订单。"
"Clear Shopping Cart","清空购物车"
"Sorry, no quotes are available for this order at this time.","对不起，目前无法配送此订单。"
"Your order cannot be completed at this time as there is no payment methods available for it.","由于无法配送至该地址，您的订单暂时无法完成。"
"Please make necessary changes in your shipping address.","请修改配送地址。"
"Update Cart","更新"