"Keep your eyes open for our special Back to School items and save A LOT!","请随时关注我们的新学期开学大促销，惊喜不断！"
"Special Price","特价"
"Total:","合计:"
"Log In","登陆"
"Sign Up","注册"
"Add to Cart","加入购物车"
"Add to Wishlist","加入收藏夹"
"Availability:","库存状态:"
"Currency:","汇率"
"BAG","购物车" 
"Featured Products","热门推荐"
"On Sale","打折促销"
"New Products","新品上市"
"quick view","商品预览"
"View Cart","购物车"
"Checkout","结账"
"Continue to Checkout","结账"
"Total:","合计"
"You have no items in your shopping cart.","您的购物车里没有商品。"
"Billing address","订单地址"
"Shipping method","配送方式"
"Payment method","支付方式"
"Review your order","确认订单"
"Grand total","总计"
"Confirm password","确认密码"
"Place order now","确认付款"
"back to main","返回上一页"
"WRITE YOUR REVIEW","您的评论"
"Shopping cart","购物车"
"Shopping Cart","购物车"
"Navigation","网站导航"
"Sign In","会员登录"
"No tags connected to product","该商品暂无标签"
"Bestsellers","人气商品"
"Show %s per page","每页显示 %s 个"
"User Show","美图秀"
"Username","用户名"
"Checkout Method","支付方式"
"Forgot Your Password?","忘记密码?"
"Back to Login?","返回登录?"
"Sign Up for Newsletter","订阅邮件"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","已经有人用该邮件地址注册过，如果您确认是自己的邮件地址，请<a href=""%s"">点击</a>找回密码访问您的账号。"

"Home","首页"

"Fill in the fields below to complete your purchase!","填写表单完成购物"
"Name & Address","姓名与地址"
"First Name","名"
"Last Name","姓"
"Company","公司"
"Address","地址"
"City","城市"
"State / Province","省"
"Zip Code","邮编"
"Telephone","电话"
"Review Your Order","确认订单信息"
"Place Order Now","支付结帐"
"New Address","填写新地址"
"Select One","请选择"

"Save in address book","保存到地址簿"
"Please enter your full address to obtain a shipping quote.","请输入您的地址获得运费。"

"Already registered? Click here to login","您已经有账号了？请点击这里登陆"
"Login to your Account","登陆信息"
"This email adress is already registered. Please enter another email to register account or login using this email.","该邮件地址已注册，请登陆该邮件地址或输入其他邮件地址注册"
"Additional","商品属性"
"Shop By","筛选"
"next","下一个"
"prev","上一个"

"Email Address","电子邮箱地址"
"Country","国家"
"Create an account for later use","是否注册账号"
"Password","密码"
"Confirm Password","密码确认"